"ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code"
"209.221.138.49","US","United States","WA","Washington","Seattle","98121","America/Los_Angeles",47.6145,-122.348,"819"
"209.221.139.2","US","United States","WA","Washington","Seattle","98121","America/Los_Angeles",47.6145,-122.348,"819"
"207.229.64.8","US","United States","WA","Washington","Seattle","98109","America/Los_Angeles",47.6344,-122.3422,"819"
"38.104.127.229","US","United States","","","","","",38,-97,"0"
"154.54.25.21","US","United States","","","","","",38,-97,"0"
"154.24.49.57","US","United States","","","","","",38,-97,"0"
"154.54.45.129","US","United States","","","","","",38,-97,"0"
"154.54.46.117","US","United States","","","","","",38,-97,"0"
"154.54.0.249","US","United States","","","","","",38,-97,"0"
"154.54.0.253","US","United States","","","","","",38,-97,"0"
"154.54.0.241","US","United States","","","","","",38,-97,"0"
"154.54.28.34","US","United States","","","","","",38,-97,"0"
"154.54.28.66","US","United States","","","","","",38,-97,"0"
"154.54.28.34","US","United States","","","","","",38,-97,"0"
"154.54.6.106","US","United States","","","","","",38,-97,"0"
"154.54.5.114","US","United States","","","","","",38,-97,"0"
"154.54.6.106","US","United States","","","","","",38,-97,"0"
"154.54.12.142","US","United States","","","","","",38,-97,"0"
"64.86.79.1","US","United States","DE","Delaware","Wilmington","19808","America/New_York",39.7351,-75.6684,"504"
"66.198.96.45","CA","Canada","QC","Quebec","Montreal","H3C","America/Toronto",45.498,-73.5472,"0"
"66.198.96.34","CA","Canada","QC","Quebec","Montreal","H3C","America/Toronto",45.498,-73.5472,"0"
"200.0.16.85","CU","Cuba","","","","","America/Havana",21.5,-80,"0"
"200.0.16.196","CU","Cuba","","","","","America/Havana",21.5,-80,"0"
"200.0.16.182","CU","Cuba","","","","","America/Havana",21.5,-80,"0"
"169.158.128.54","CU","Cuba","08","Provincia de Ciego de Avila","Habana","","America/Havana",22.2514,-78.9131,"0"
