"ip","country_code","country_name","region_code","region_name","city","zip_code","time_zone","latitude","longitude","metro_code","mean_rtt"
"128.95.230.102","US","United States","WA","Washington","Seattle","98105","America/Los_Angeles",47.6606,-122.2919,"819",1.73366666666667
"209.124.188.134","US","United States","WA","Washington","Seattle","98105","America/Los_Angeles",47.6606,-122.2919,"819",1.69666666666667
"198.104.202.5","US","United States","CO","Colorado","Englewood","80111","America/Denver",39.6237,-104.8738,"751",2.373
"64.86.123.41","US","United States","DE","Delaware","Wilmington","19808","America/New_York",39.7351,-75.6684,"504",0.976
"64.86.123.2","US","United States","DE","Delaware","Wilmington","19808","America/New_York",39.7351,-75.6684,"504",0.00666666666666667
"64.86.124.30","US","United States","DE","Delaware","Wilmington","19808","America/New_York",39.7351,-75.6684,"504",68.7756666666667
"66.198.96.45","CA","Canada","QC","Quebec","Montreal","H3C","America/Toronto",45.498,-73.5472,"0",73.4
"66.198.96.34","CA","Canada","QC","Quebec","Montreal","H3C","America/Toronto",45.498,-73.5472,"0",220.367
"200.0.16.85","CU","Cuba","","","","","America/Havana",21.5,-80,"0",182.232666666667
"200.0.16.196","CU","Cuba","","","","","America/Havana",21.5,-80,"0",181.764
"200.0.16.182","CU","Cuba","","","","","America/Havana",21.5,-80,"0",186.521666666667
"169.158.128.54","CU","Cuba","08","Provincia de Ciego de Avila","Habana","","America/Havana",22.2514,-78.9131,"0",186.711
