"addr","mean_rtt","rtt.1","rtt.2","rtt.3"
"128.95.230.102",1.73366666666667,1.822,1.728,1.651
"10.132.1.73",1.768,1.725,1.829,1.75
"10.132.1.75",2.59766666666667,3.04,2.983,1.77
"209.124.188.134",1.69666666666667,1.722,1.684,1.684
"198.104.202.5",2.373,2.258,2.425,2.436
"64.86.123.41",0.976,1.5,1.349,0.079
"64.86.123.2",0.00666666666666667,0.02,0,0
"64.86.124.30",68.7756666666667,68.691,68.81,68.826
"66.198.96.45",73.4,73.346,73.417,73.437
"66.198.96.34",220.367,220.284,220.405,220.412
"200.0.16.85",182.232666666667,182.07,182.208,182.42
"200.0.16.196",181.764,182.193,181.62,181.479
"200.0.16.182",186.521666666667,185.387,187.089,187.089
"169.158.128.54",186.711,187.089,186.522,186.522
