"addr","mean_rtt","rtt.1","rtt.2","rtt.3"
"128.95.230.102",1.06866666666667,1.045,1.07,1.091
"10.132.1.73",1.578,1.56,1.584,1.59
"10.132.1.75",1.35533333333333,1.344,1.358,1.364
"209.124.188.134",1.415,1.751,1.759,0.735
"206.81.80.84",0.763666666666667,0.694,0.715,0.882
"206.81.80.13",1.73066666666667,1.473,1.886,1.833
"63.218.112.218",97.657,97.625,97.67,97.676
"63.217.112.26",97.709,97.505,97.786,97.836
"63.245.106.184",94.2756666666667,94.257,94.282,94.288
"63.245.70.98",149.132333333333,149.159,149.202,149.036
"162.246.104.182",149.240666666667,149.35,149.275,149.097
