"addr","mean_rtt","rtt.1","rtt.2","rtt.3"
"128.95.230.102",0,0,0,0
"10.132.1.73",0,0,0,0
"10.132.1.75",0,0,0,0
"209.124.188.134",0,0,0,0
"4.53.146.142",0,0,0,0
"4.53.146.141",0,0,0,0
"4.69.147.171",3.974,3.974,3.974,3.974
"207.45.206.9",3.974,3.974,3.974,3.974
"64.86.123.2",0,0,0,0
"64.86.124.34",307.991,307.991,307.991,307.991
"64.86.79.2",303.991,303.991,303.991,303.991
"66.198.111.125",303.991,303.991,303.991,303.991
"80.231.138.17",305.330333333333,307.991,304,304
"80.231.158.29",299.999,299.999,299.999,299.999
"80.231.158.6",309.333333333333,312,308,308
"80.231.159.6",196.035666666667,192.02,192.02,204.067
"41.206.164.5",300.026,300.002,300.038,300.038
"41.206.164.254",317.340666666667,320.008,316.007,316.007
"41.206.179.9",302.686,300.004,304.027,304.027
"41.206.179.14",299.990333333333,300.032,299.977,299.962
"41.161.79.90",304.009,304.009,304.009,NA
